External ID,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaeromassilibacillus|s__Anaeromassilibacillus_sp_An250,k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified|g__Proteobacteria_unclassified|s__Proteobacteria_bacterium_CAG_139,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Clostridium_leptum,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_83,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sp_HMSC71H05,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dielma|s__Dielma_fastidiosa,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Eubacterium_siraeum,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_38,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_clostridioforme,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_253,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_242,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_galacturonicus,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Intestinimonas|s__Intestinimonas_butyriciproducens
PSMA265N,0,1.60919,0,2.39263,0,0,0.10334,0.09353,0.57775,0,0,0,0,0,0,0.01774,2.42287,0,0.00274,0,0,0,0.01922,0,8.36315,0,0,0,0,0
PSMB4MC5,0,4.23477,2.88056,0,0,0,0,1.87923,0,0,0.1405,0,0,0.01666,0,0.00111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM79HP4,3.51088,0.49102,0,0.45147,0,0.05556,0,0,0.11224,0,15.32696,7.34858,0,0,0,0,0.83448,6.88073,0,0,0,0,0,0,0,0,0,0,0,0
PSMA263W,0,0,0,0,0,0,0,0.07188,0,0,0,0,0,2.08112,0.05064,0,0,0,0,0,0,1.01655,0,0,0,0,0,0,0,0
CSM7KOSP,4.24944,12.80069,1.56597,0,0,0,0,0,0,0,0,0,0,2.80422,0,0,0,0,0,0,0.24245,3.39498,0,0,0.07782,0,0,0,0,0
CSM67UEI,3.4327,1.00878,0,0,0,0.61552,0.03495,0,0,20.06045,0.8513,4.74048,0,0,0.38644,0.07007,0,0,0,0,0,0,0.03097,0,6.64305,0,0.071,0,0,0.52405
CSM79HPA,0.06548,0.1727,0,1.10159,0,4.84215,0,0,0.25795,0.32989,1.27792,0.30886,0,0,0.06064,0,0.01969,0.7084,0.1457,0,0,4.42254,0.01495,0,0.44642,0,0,0,0,0.17797
CSM9X211,0,0,0,0,0.00416,0,0,0,0.9731,3.44048,0,0,0.00573,0,0,0,0,0,0,0,0,0,0,0,0,0.00998,0,0,0,0
MSM79HA3,0,0.69068,0.01402,0.5776,0,0,0,0.00684,0,1.79583,0.18238,1.1148,0,0,0,0,1.35324,0.67783,0.40274,0,0.0082,0,0,0,0,0,0,0.57151,0,0
CSM5MCZF,0,0,0,0.824,0,0,0.06275,0.27423,0,0,0.62556,6.09911,0.06608,0,0,0,1.18524,0,0,0.04035,0.08229,0,0,0,3.11649,0,0.16691,0,0,0.11107
HSMA33NW,0,0,0.05609,1.2564,0,0.03082,0,0.38306,0.67504,0,0.09488,6.8407,0,0,0.04772,0,0,4.82686,0.06603,0,0,0.00509,0,0,17.80623,0,0,0,0,0
CSM7KOOH,6.39754,1.41352,0.01245,0.49351,0,0.07568,0,0,0.15381,0.21555,19.80347,11.15476,0,0.03655,0,0,1.00846,7.53713,0,0,0,0,0,0,0,0.00125,0,0.47274,0,0
HSM7J4MK,0.80298,0.02555,0.24966,1.31333,0,0.11369,0,0.04961,1.24731,0.07697,0.22335,14.46771,0,0,0.03001,0.00145,0.04087,0,1.40344,0,0.05673,0,0,0,14.01524,0,0,0,0,0
MSM9VZIQ,0,2.38603,0,0,0.65433,0.09319,0,0.35415,0,0,0,0,0,0,0,0.23794,0,0,0,0.00245,1.13322,0.01289,0,0,0,0,0,0,0,0
HSM7J4HC,3.55316,0.00308,0.31063,1.00018,0,0,0,0.13734,0.00178,0,0.07044,7.295,0,0,0.01314,0,0.0033,3.88931,0.05661,0,0,0,0,0,1.98928,0.02181,0,0,0,0
MSM9VZOO,0,0,0,0,0,0,0.02489,0,0,53.7633,0,6.5878,0.02326,0.29039,0.01537,0,0,0,0.04232,0,0.28536,0,0,0,0,0.01577,0,0,0,0
ESM5MEBE,0,0,0,0,0,0.05205,0,0.09183,0,0,0,0,0,0.21972,0.00393,0.07772,0,0,0,0,1.35992,0,0,0,0,0.00215,0,0,0,0
PSM6XBQY,0,0,0,0.13357,0,0,0,0.56214,0.10045,16.18384,0.30678,5.60319,0,0,0,0,0,0.57915,0,0,0,0,0,0,0,0.69945,0,0,0,0
CSM67UBZ,0,0,0,0.28785,0,0.00035,0.00635,0.20291,0.01073,30.82778,0.35231,6.5851,0,0,0,0.03125,0.10953,0,0,0.00269,0.07768,0.00723,0,0,0,0,0,0,0,0
HSM7J4R2,0.23462,0,0.00771,0,0.01739,0.09096,0.50928,0.02995,0.01674,0,1.61089,0,0,0,0.06997,0,0,13.8468,0.10875,0,0.00829,0,0.00688,0,39.89589,0,0,0,0.00399,0
MSM6J2KE,0.10401,0.13887,0.01526,0.18495,0,0,0,0.051,0,0.5829,0,0.00079,0,0,0,0,0.00867,0,0.00523,0,0,0,0,0,0,0,0,0,0.02065,0
PSM7J14L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123,0,0,0,0
HSM7CYYB,0,0.16886,0,0,0,0,0,0,0,0,0,0,0.02372,0,0,0,0,0,0,0,0,0,0,0,0,0.0262,0,0,0,0
HSM7J4OZ,0,0,0,0.72146,0,0.44858,1.91066,0,0,22.98113,2.51911,0,0,0.87233,0.00218,0,0,0,0,0,0,0,0,0,0.00388,0,0,0,0,0.01694
CSM79HIJ,0,0,0.54765,0,0.00121,0,0.0557,0.02712,0,21.57655,0.01205,0.05146,0,0,0,0,0.10052,0,0.00031,0,0.07081,0,0,0,0.3093,0,0.00637,0,0,1.03456
HSM7J4OT,0,0,0.02265,0.0008,0,0.00392,0,0.03775,0,0,0.00391,0.3092,0,1.44098,0,0,0.0263,0,0,0,0,0,0,0,0.56202,0.09405,0,0,0,0
ESM5MEBU,0,0,0.01312,0,0,0.00643,0.01545,0,0,8.15839,0,10.08593,0.00403,0.03173,0,0,0,0.52423,0,0,1.40085,0,0,0,0,0,0,0,0,0
CSM67UGO,0,0,0,0.64362,0,0,0,0.29628,0,0,0.91022,5.06819,0,0,0,0,0.093,0,0,0.09501,0.197,0,0,0,3.96473,0,0.37704,0,0,0
PSM7J12V,0,0.21487,0.22088,0.1153,0,0.00803,0,0.05565,0.24911,2.42038,0.0243,2.29798,0,0.01823,0.03277,0,0,0,0.03672,0,0,0,0,0,10.54957,0,0,0,0,0
MSM79HB6,12.15095,5.59757,0.10307,0.96412,0,0.03242,0,0,0,0,2.79072,0,0,0,0,0,0,0,0,0,0.03364,0.02345,0.05586,0,0,0,0,0,0,0.10264
CSM79HR6,0,0,0,0,0,0.03552,0.01491,0,0,17.69181,0,0,0,0,0.03498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSM6J2QP,0,1.40531,0.00667,0,0,0,0.00192,0,0.00798,0,1.98214,8.32888,0,0,0.00085,0,0,0,0.12595,0,0,0,0,0,16.337,0,0,0.08813,0,0
CSM7KOTU,0,0,0,0.05738,0.14685,2.37081,0,0.26454,1.67996,0.27926,0,0,0.00345,0,0,0,0,0.04096,0,1.08351,0,0,0,0,23.36872,0,0.07995,0,0,0
HSM7CYZT,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSM79H5Q,0,1.18953,0.00896,0,0,0,0.24834,0.00225,0.03322,0,1.43526,6.39806,0,0,0.00301,0,0,0,0.12426,0,0,0,0,0,20.03786,0,0,0.05669,0,0
PSM7J19J,0,0.46611,0,1.74313,0,0.01014,0.02147,3.78725,0.30598,0,0,9.65199,0,0,0,0.01583,0.0955,0,0.11458,0,0,0,0,0,34.62821,0.83947,0,0,0,0
MSM5LLDS,0,9.31003,0,0,0,0,0,0,0,0,1.23215,7.1962,0,0,0.00513,0,1.37589,0,0,0,0.07305,0,0,0,60.06281,0,0,0,0,0
HSM6XRQ8,0.15005,0,0.08319,0.08236,0,0,0,0.08239,0,0,0.00333,0.55124,0,0,0,0,0.11248,0.64294,0.00024,0,0,0,0,0,0.31278,0,0,0,0,0
CSM67UDN,0.07799,0,0,0,0,0.06783,0.00936,0,0,0,0,0,0,0,0.15711,0,0,0,0,0,0,0,0.00439,0,26.21537,0,0.09099,0,0,0.08826
HSM67VI5,3.03035,0,0.00205,0.40474,0,0,0.25707,1.00087,0.1865,0,1.11383,6.26598,0.01146,0.05622,0,0,0.1072,0,0.18992,0,0,0,0,0,36.77775,0,0,0.37642,0,0.00369
CSM67UBN,0,9.24078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64041,0,0,0,0,0,0,0,0
CSM7KON2,0,0,0,0.61193,0,0,0.02483,0.37237,0,0,0.75963,7.36238,0,0,0,0,0.03574,0,0,0.11784,0.68183,0,0,0,6.06397,0,0.1559,0,0,0.00057
CSM7KOKB,0,0.0706,0,1.97038,0,0.0404,0,0,0,0,0.35398,3.44367,0,0,0,0,0,0,0,0,0,0.02717,0,0,0.2889,0,0,0,0,0
PSM7J1AU,0,0.33646,0,0,0,0.36372,0,0,0,0,0,0,0.03419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM79HH8,0.1393,0,0,0.63227,0,8.06698,0,0,0.00642,0.87122,2.8386,0.52662,0,0,0.53815,0,0.01908,1.517,0.19561,0,0,1.36694,0.03147,0,0.75293,0,0,0,0,0.4358
HSMA33OZ,0,0.20935,1.79139,0.03685,0,1.74313,0,0.08946,0,0,0.0575,1.70575,0,0.05,0.00961,0,0,1.25367,0.34997,0,0.40416,0,0,0,21.23597,0.06637,0,0,0,0
MSM79H85,0.08698,0,0.08539,0,0,0,0,0,0,55.60608,0,9.26494,0.02309,0.12439,0,0,0.14076,0,0.64391,0,0.03677,0,0,0,0,0.05221,0,0,0,0
PSM7J14T,0,1.11635,0,0.57316,0.05845,0,0.00825,1.16288,0.0828,0.56657,0.05475,1.46364,0,0.75578,0.16523,0,0.52567,0,0,0,2.21874,0,0,0,0,0,0,0,0,0
MSM9VZJZ,0,0,0.01702,1.15303,0,0,0.01024,0.08021,0.08521,9.20794,0.40517,3.19241,0,0,0.10032,0,0.03756,0.66229,0.02368,0.01027,0.11975,0,0.01369,0,0,0,0,0,0,0
ESM718TM,0,0,0.07103,0.36239,0,0,0,0.17895,0,0,0.00182,3.85543,0.40928,0.11171,0,0.00076,0.01905,0.30686,0.06115,0,0,0,0,0,1.02218,0.03487,0,0,0,0
HSM5MD6K,0,0,0.0889,0,0,0.03711,0.05897,0.08987,0.02385,0,3.10169,0,0,0,0.08885,0,0,8.4118,0.20752,0,0,0,0,0,41.03814,0,0,0,0,0
PSM7J12J,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33823,0.00349,0,0,0,0,0,0.81175,0.23413,0,0,0,0,0,0,0.00404,0
CSM79HN6,0.59383,1.60352,0.00334,1.01941,0.0027,0,0,0,0,14.51995,2.95297,4.01158,0,0,0.02928,0,19.80362,0,0.28841,0,0.05324,0,0,0,12.73749,0,0,0,0,0.02818
MSMB4LXY,0,13.97768,0,2.00716,0.01204,0.1249,0.02992,0.65657,0.01169,0,0,11.70307,0,0.03369,3.82719,0,0,0,0,0,0,0,0.10341,0,0,0,0,0,0,0
CSM67UAQ,0,0,1.07263,0,0,0,0.13027,0.43399,0,16.54577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14363
HSM7J4ME,0,0,0.04506,0.04224,0.13262,0.0044,0,0.03953,0.61988,0,0,1.74951,0,0.09809,0.0121,0,0.01622,0.27015,0.0068,0.55523,0,0,0,0,7.4898,0.37447,0,0,0,0
MSM79HDQ,0,0.16395,0.69707,1.00814,0.01955,0,0,0.47025,0.00541,0,1.63151,6.18616,0,0,0,0,0.51976,0,0.18577,0,0,0,0,0,3.83326,0.04948,0,0,0,0
HSM6XRS8,0,0,0,0,0,0,0,0,0,0,0,0,11.69568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSMA26DG,0,0,0.03582,0.56704,0,0,0,0,0,1.97516,1.19976,7.77332,0,0,0.00674,0,0,0,0.03854,0,0.74852,0,0,0,9.63645,0,0,0,0,0
CSM7KOPI,0,0,0.17659,0,0.02785,0,0.45834,0.13632,0,20.42297,0,0,0,0,0,0,0,0,0,0,0.6282,0.00802,0,0,0,0,0,0,0,0.61649
HSM5MD7O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88795,0,0,0,0
PSM7J12F,0,0.0984,0,0,0,0.20386,0,0,0,0,0,0,0,0,0,0.01057,0,0,0,0,0.31936,0,0,0,0,0,0,0,0,0
HSM7CZ14,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00197,0,0,0,0,0,0,0,0.01219,0,0,0,0,0,0,0,0
PSMA264Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81907,0,0,0,0,0,0,1.0273,0,0,0,0,0
HSM6XRTM,0,2.49596,0.11301,0,0,0.6411,0.0109,0.09139,0,24.6341,0,0,0,0.03541,0.04983,0.01122,0.24814,0,0.13292,0,0,0,0,0,3.16752,0.0247,0,0,0,0
MSMB4LZ4,0,0,0,0,0.01101,0.02176,0.04624,0.36535,0,0.96159,1.77207,2.65792,0,0,0,0,0,0.54887,0,0.09631,0.4901,0,0,0.17021,0,0,0,0,0,0.01466
HSM6XRRJ,0,0,0,0,0,0.01148,0.11064,0,0,0,1.74408,0,0,0,0.01087,0,0,15.07553,0,0,0,0,0,0,60.65974,0,0,0,0,0
PSM6XBSI,0,5.62096,0.01849,2.44911,0,0,0,0.16366,0.39772,4.04935,0.2043,5.46393,0.05045,0,0,0,0,0,0.09044,0,0,0,0,0,0,0,0,0,0,0
CSM7KOKZ,0.05974,0.12573,0,0,0.00248,0.83634,0,0.00249,0,0,0,0,0.00236,0,0.07249,0,0,7.41265,0,0,0.33734,0,0.00431,0,7.99872,0,0.02603,0,0,0.06162
HSM7J4MS,0,0.46106,0,1.54323,0,0.50312,1.78737,0,0,22.58136,0.92151,0,0,0.47785,0.00673,0,0,0,0,0,0,0,0.00133,0,0.13175,0,0,0,0,0.00913
HSM7J4NA,0,3.55966,0.276,0.97764,0,0,0,0,1.28456,0,0.09462,3.49097,0,0,0.17072,0.01089,0,0,0.02498,0,0,0,0,0,0,0,0,0.29023,0,0.20531
CSM79HIT,0.02786,0.33474,0,5.78871,0.09404,0.0878,0,0.73739,4.36755,0,2.03678,10.59809,0,0,0.03875,0,0,0,0,0,0,0,0.02118,0,0,0,0,0,0,0.47269
HSM7J4N4,0,3.60112,0.30393,0.73106,0,0,0,0,0.41848,0.03772,0.03555,4.56449,0.04535,0,0.24097,0,0,0,0.06575,0,0,0,0,0,0.00449,0,0,0.10878,0,0.37238
PSMA269W,0,21.22706,0.28203,0,0.01104,0,0.48874,0.15563,0.47369,0,0.76727,0,0.1229,0.48495,0.05377,0.00815,0,0,0,0,0,0,0,0,0,0.0041,0,0,0,0
